Date,estimated-transaction-volume-usd,estimated-transaction-volume,Output-volume,n-transactions-excluding-chains-longer-than-100,n-transactions-excluding-popular,n-unique-addresses,Cost-per-transaction,Transaction-fees,Miners-revenue,difficulty,Hash-rate,median-confirmation-time,n-transactions-per-block,n-orphaned-blocks,avg-block-size,trade-volume,market-price
2016-11-01,211281401.080994,287696.45703372,1846449.78255955,172133,264422,446989,5.59429522388823,78.88304167,1321902,253618246641,1815470.12498659,11.775,1712.84722222222,0,0.857051659722222,41882993.0835102,728.2068875
2016-11-02,169116165.318624,228569.33506146,4781474.41264023,181477,267456,461830,4.80186291617541,79.52440935,1230807.015,253618246641,1676788.3793279,8.98333333333333,2018.18045112782,0,0.90370907518797,24177015.5443948,733.336125
2016-11-03,204145450.347447,295884.41241749,6819766.20394475,183320,243410,457533,5.12210489673079,79.22807198,1348852.25,253618246641,1966759.30206881,11.7,1752.16666666667,1,0.833673211538462,56296677.0219227,686.170875
2016-11-04,198460199.871682,280307.05762868,5890890.01915306,173263,236682,453192,4.37959531570862,84.33985522,1036526.64,253618246641,1462462.04512809,12.5,2138.30172413793,0,0.956108198275862,29358873.2932672,703.6940875
2016-11-05,123153407.340284,173724.65416883,5873497.85148725,170665,222005,426001,5.67357451091625,74.56670338,1325997.45,253967917207.953,1885928.48644027,8.76666666666667,1624.37583892617,2,0.792772073825503,14017411.0236049,704.7909
2016-11-06,169183042.944211,236685.84631255,5461737.25483181,159506,268563,429823,6.24854299236228,71.77139104,1379564,254620187304,1949214.67726041,11.05,1483.24675324675,1,0.732524688311688,15385463.926391,712.00325
2016-11-07,190875054.995882,270740.91856269,4470465.95385469,187765,289968,483846,4.92557979363946,91.27487749,1294398.36,254620187304,1847956.77194818,11.5333333333333,1878.63698630137,0,0.886718801369863,13568019.0808294,703.819
2016-11-08,209569075.126419,294404.74703082,3497745.19994558,206149,265464,503015,5.2938510263851,89.25535917,1507321.2,254620187304,2139073.24972084,12.15,1751.83431952663,0,0.866265940828402,21720391.236469,708.974875
2016-11-09,289544177.641021,399624.83457231,2694658.10429461,192326,266380,474975,5.15377709020868,83.73198606,1334964.95,254620187304,1860614.01011221,9.3,1837.38095238095,0,0.891798598639456,40308934.7443685,720.9301
2016-11-10,187613065.98341,262443.61350093,1759909.00427501,191574,250080,474281,5.74872943603759,82.2928672,1501227,254620187304,2126416.01155681,11.475,1615.32142857143,0,0.804537113095238,18345512.5546658,713.690125
2016-11-11,152755406.870187,213426.02220137,1395606.56764894,181077,224529,444226,5.93186272926905,72.74402535,1459015.605,254620187304,2063129.82073667,6.96666666666667,1562.07975460123,0,0.754812558282209,14008613.8917483,715.4593
2016-11-12,119400679.089717,169726.1923975,950069.93175984,169506,216563,450559,6.65696341278992,65.89536127,1478735.98,254620187304,2126416.01155681,6.46666666666667,1362.41666666667,0,0.710403196428571,13568553.6888432,703.718
2016-11-13,124728414.928839,177264.2083607,1131283.72920148,162551,266080,411263,5.88346854361226,63.15492634,1259145.885,254620187304,1809985.0574561,8.33333333333333,1547.74825174825,1,0.773230048951049,19900672.8562117,701.901125
2016-11-14,168532361.935663,238427.33527009,1547251.34937591,185144,275530,486756,5.82563741499221,79.42615064,1523261.75,254620187304,2177044.96421293,11.725,1572.70930232558,0,0.790227994186047,20324888.3717734,706.467875
2016-11-15,190622060.179289,267596.06959962,1759582.2338065,194699,286128,514795,5.16175946572997,81.45867865,1389794.85,254620187304,1974529.15358847,8.08333333333333,1797.12820512821,0,0.854411583333333,22288622.30351,710.910125
2016-11-16,270653443.720995,365762.72513885,1959594.27361589,192586,273640,494246,5.66628316760838,79.74219285,1590935.5,254620187304,2177044.96421293,10,1692.94186046512,1,0.791251610465116,44865031.1506733,736.914375
2016-11-17,249776321.209158,339167.23861979,1604094.50628332,196176,272098,484633,5.51158601156165,89.03665576,1467356.7,254620187304,2012500.86808055,9.73333333333333,1745.03144654088,0,0.898399018867924,36131321.2177081,736.9615
2016-11-18,198644445.344916,265255.37515345,1605921.95574594,191304,245559,488365,5.24777696458114,83.54457183,1385428,272434584596.115,2073243.13718006,8.98333333333333,1864.35810810811,0,0.932392641891892,22349404.1599065,747.5217625
2016-11-19,151778076.971463,201492.26302848,1119382.03027167,181839,242796,476358,5.57095134616145,72.14751446,1337807.52,281800917193,1989192.73972682,11.5,1758.87323943662,0,0.852874091549296,15115192.2451999,750.030875
2016-11-20,128523869.494965,176064.91889499,1177096.4320142,185468,283934,438202,4.99273353599604,73.70174219,1177092.75,281800917193,1807083.54524478,11.15,1911.13953488372,1,0.903049,26489236.6726895,729.066625
2016-11-21,193256336.367135,261528.29875788,1566281.00354851,202961,282436,490392,4.74482117799573,95.49432851,1300552,281800917193,1961175.94057573,17.3,2052.95714285714,1,0.923045742857143,18741837.418617,738.537625
2016-11-22,223163107.161973,298362.35515532,1711822.46950454,197281,273901,515387,4.65197432348756,101.52105178,1264052.4,281800917193,1877125.54312249,18.625,2131.60447761194,0,0.958884813432836,25591017.7097474,748.749375
2016-11-23,206011265.457985,278393.60197025,1723439.70294708,203465,329909,505599,5.20133085011339,108.95046532,1371590,281800917193,2059234.73760452,20.3,1883.83673469388,0,0.95107656462585,19866229.8841036,741.6384
2016-11-24,252699561.026461,342722.47301271,1901222.46965214,237899,311945,489272,4.8361170921349,137.18975526,1540282.37,281800917193,2297377.53038872,19.275,2033.32926829268,2,0.952280768292683,16755125.577681,737.450375
2016-11-25,194997124.167486,263360.15257217,1465067.3963313,229743,274803,523079,4.78469002076947,138.07167767,1450482.78,281800917193,2129276.73548223,12.9666666666667,2074.91447368421,0,0.942782921052632,14432748.7066858,739.786125
2016-11-26,183108641.961441,250151.83535491,1213751.2555608,206872,234044,481755,5.31261348730079,102.63163486,1424452.54,281800917193,2157293.53463331,13.75,1814.11688311688,1,0.943726090909091,12319132.9647757,733.673
2016-11-27,129855387.792683,179648.58651783,950718.26391209,175472,295352,454515,5.72795881395757,81.15381886,1303985.32,281800917193,2017209.5388779,12.65,1648.53472222222,0,0.821504368055556,11359826.8065504,727.9655
2016-11-28,198614920.794124,271509.89828593,1514724.19163008,210817,290723,515310,5.2918398448601,109.57588157,1511320.32,281800917193,2297377.53038872,9.76666666666667,1820.30487804878,0,0.909111365853659,17786517.7480325,733.052125
2016-11-29,224707688.253139,307376.63395546,1427319.39932026,202251,289146,506247,4.945988407003,102.53218663,1388629.475,281800917193,2115268.33590669,9.65,1947.94701986755,2,0.905745052980132,18774731.9526761,732.712125
2016-11-30,204169344.001553,276016.41746864,1366660.3885926,209455,236205,500015,4.73807895798913,99.56774283,1321104.2,281800917193,1989192.73972682,18.45,2060.94366197183,0,0.912247464788732,21330877.4838201,742.6967625
2016-12-01,195432627.804891,259387.11483979,1513280.75387222,174808,315002,485327,6.05973964116815,102.70561249,1391603.68,281800917193,2045226.33802898,9.03333333333333,1641.65753424658,0,0.899509287671233,26804422.4922784,752.246125
2016-12-02,230344673.8832,297726.02869817,1792011.06355991,234234,284484,513735,4.67067313373388,121.34014523,1419702.8,286179638739.035,2052749.31684044,29.25,2210.15972222222,1,0.976719097222222,33314155.0444478,772.43725
2016-12-03,154632778.482412,202377.73332951,1235161.95219588,218841,242653,492197,5.97263578799691,101.13526766,1648884.64,286765766820,2451895.01733719,8.41666666666667,1674.3488372093,0,0.880861970930233,15079718.4056597,764.339625
2016-12-04,100618181.332359,131451.42837108,916341.42138662,183623,274820,457491,6.05321782327796,92.63816666,1422187.52,286765766820,2109770.13119712,13.8,1659.7972972973,0,0.856999168918919,11710058.4724994,764.81625
2016-12-05,208779869.830331,276149.23791113,1721222.67250402,184952,316624,548221,5.45577473295542,106.12511446,1450084.72,286765766820,2166790.94555379,9.31666666666667,1828.95394736842,0,0.882688315789474,26745481.4464203,754.63975
2016-12-06,219286012.919509,290179.8527432,1651414.71147095,229284,306943,540804,4.7135263345892,119.47737538,1435055.31,286765766820,2138280.53837545,12.5333333333333,2131.74666666667,0,0.962761093333333,20977699.2164244,756.6215
2016-12-07,225933753.512577,294814.12588415,1551778.12748542,219652,279248,539249,5.64935594064909,107.751729,1686375.18,286765766820,2494660.6281047,9.06666666666667,1779.20571428571,1,0.88484412,23775580.3539686,766.1166375
2016-12-08,217843730.62686,283650.69092039,1425236.29620903,200782,264834,500354,5.59267774895041,96.23895714,1516416,286765766820,2238066.96349964,8.76666666666667,1800.70700636943,0,0.850177687898089,18396293.927808,769.72975
2016-12-09,214235917.980702,278051.52303171,1526017.12753924,189833,247017,465342,5.11282408670082,96.30486037,1312529.715,286765766820,1924452.48453791,12.2833333333333,1991.22222222222,0,0.9303238,16139725.074413,770.028125
2016-12-10,149402091.270243,193275.66787871,1170744.74867142,188659,228523,454665,5.36514438737061,86.84229837,1287818,286765766820,1881686.8737704,12.8,1895.76515151515,0,0.89848171969697,11258173.0415231,773.40125
2016-12-11,123861653.731951,161208.9255033,1064341.90545624,168897,265362,439143,8.00966630477894,77.34598554,1807112.16,286765766820,2679978.2747639,6.1,1238.53191489362,1,0.685657085106383,10790493.5546028,768.303125
2016-12-12,214657678.018391,276318.05112749,1692640.2805042,185255,287506,498688,5.90780513919389,93.1264006,1520295.45,286765766820,2223811.75991047,14.575,1722.19230769231,0,0.806014641025641,19721035.4162894,777.006875
2016-12-13,200234698.520361,256895.58980853,1566232.61036767,203294,281967,498359,6.20506374544943,97.65573127,1739710.08,286765766820,2537426.23887221,8.7,1639.08426966292,0,0.814901382022472,20077997.9098794,778.4935
2016-12-14,211719980.773475,273363.43547253,1655833.79460135,235798,278259,495472,4.95631567387657,94.82014754,1354213.25,286765766820,1981473.29889459,9.68333333333333,2059.91366906475,0,0.901627870503597,14993051.0509129,774.897
2016-12-15,221944104.663404,285532.10428844,2047186.30565281,233091,274282,479430,4.641313458122,100.43219466,1249509.75,308312273901.189,1958064.6377955,14.9,2225.86614173228,0,0.955426385826772,15357872.5322933,776.75215
2016-12-16,240778360.046723,307291.63428846,1883877.69280813,207424,235086,495266,4.93665881819369,97.57905572,1317539.325,310153855703,2050571.62855749,17.025,2100.45864661654,0,0.966616796992481,17973313.8851134,781.568375
2016-12-17,184331270.312852,233038.68609319,1323237.1119241,178464,232272,458680,6.26799691483796,81.66348442,1439997.295,310153855703,2235585.61008148,15.1,1648.51034482759,1,0.814087737931034,17068492.2552878,788.7055
2016-12-18,155830419.342663,197173.82749097,1411672.89554392,177716,281182,418498,6.17845760969553,80.81959375,1398471.24,310153855703,2173914.28290682,9.83333333333333,1672.26241134752,0,0.861416375886525,10243644.9345956,788.40575
2016-12-19,221887382.554979,280515.0221934,1851507.45397615,194881,292493,508681,5.56683782077419,104.70908587,1511601,310153855703,2343510.43263714,13.85,1874.02631578947,1,0.915327776315789,15301931.7389363,789.524125
2016-12-20,245012593.471542,308362.60757091,1939201.3316321,207795,321356,508908,4.89623593708803,101.92528818,1380945.28,310153855703,2127660.78752582,10.7166666666667,2148.35507246377,0,0.970379615942029,19671152.5655045,793.0901375
2016-12-21,321107915.440672,388618.76777929,2851534.3441744,227280,310432,540310,5.33409405743363,114.92502583,1659583.38,310153855703,2451435.25519279,8.78333333333333,2048.28301886792,0,0.963965635220126,44854043.0263223,824.2189375
2016-12-22,331099339.956595,384847.08366064,2459189.60192818,216607,300356,528878,5.72479963876116,106.17675284,1717668.81,310153855703,2451435.25519279,8.58333333333333,1978.89308176101,0,0.919836194968553,54177733.5753325,860.599875
