"","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.temp.resid","temp.resid"
"22",-20482357.6950538,-34349.8593861984,189242.147536547,7155.18962640735,-37236.6066565203,-5427.62570457384,0.610163667261671,-4.96063163509788,154713.392825088,7393175280.90356,289217.547815664,-2.1259111823947,-217.819788377632,-0.316668423033795,-0.0606454780720665,-6154095.79251594
"23",-27625499.8941494,-44275.060390135,497993.434407871,-12286.2969347841,-10525.3056967728,-30952.9077790322,0.746934663346722,-10.7825353566205,-32288.1628316424,6062748499.90356,42204.0573455284,-1.04958745842981,-190.322647034739,-0.388175399852672,-0.0916051067311385,-3309113.24191906
"24",10276567.6073385,14215.5620934629,233086.67326092,-5981.01380006079,11290.5282941921,-16616.5821306239,-1.21159235501779,5.99416480663914,-276664.08173229,-1919812197.09641,-455383.78227874,3.16070507931986,307.757753768896,0.612478013480686,0.123728765590841,5081376.60785881
"25",41466737.2651421,52536.2646223695,527221.251395635,16306.0092967772,-30709.5115184566,7639.07314299138,-0.631734163079603,13.0144719389304,57206.8799315164,-1919812197.09641,-78298.8263626906,2.49191438143937,112.611524427976,-0.311189600010241,0.10829953342639,17706793.5921921
"26",105955479.761128,164843.783865511,235882.035452833,-20456.8579390061,-15439.6711528205,-47100.5947133413,0.188359239666653,-7.22199266143847,24220.1786011145,-1919812197.09644,-80436.2055731873,0.738483515177211,-91.6925249517243,0.606911862495207,0.0141404972963459,-7244353.66935793
"27",-82133717.2615667,-125432.435101029,-328637.932364607,756.456905819489,-1474.7615771555,-21345.6731838861,-0.53835150149727,-2.7840157368772,-121112.121479179,-1919812197.09641,-277226.079209443,1.19847097046321,241.705764269173,-0.323863637037068,0.0817374733367359,-3203392.12595305
"28",-28333300.1427953,-27028.7318672088,-97516.0437766034,4865.80980431857,-32773.2588531029,-1878.38621563581,-0.22689591418554,-0.318263962498684,59360.899466742,-1919812197.09644,-101386.283530468,1.21923636655523,6.28472790312564,-0.398381857197356,0.00196005379871499,-3177109.81884569
"29",-33441266.9097848,-48926.7742469091,1315798.80975407,-9038.35586488844,-29078.7677413378,-50806.7693092808,0.616214425060888,-5.92542622034171,38065.1877954161,-1919812197.09641,-36145.8404550725,1.05421827198242,-230.574951766019,-0.389986806539269,-0.0544596755175749,-7228741.84025308
"30",-37282536.9944507,-46829.0984574885,-308762.737940941,-3848.48381014429,15038.3532404571,-24201.6796221117,0.0707651500624412,-7.17926266776685,-73465.07294512,-1919812197.09644,-206245.412674833,-1.00722940797674,-19.9626027187407,-0.374457785056919,-0.0416501957592373,-2458568.07103474
"31",21637756.7640889,36650.3708370215,-438359.399327179,16783.5881358507,12093.218510238,22871.1717189361,-1.06441655170779,11.8084535235511,-55796.9003077067,-1919812197.09641,-216745.911936189,2.09845072103882,239.097491755424,-0.35913538355284,0.142190100900711,7633015.52939316
