"","x"
"133",-0.00227790186473165
"134",-0.00632199095474739
"135",-0.0158561108058648
"136",0.00110322895339943
"137",0.0665653250068279
"138",0.0168232652245974
"139",0.0373125644293135
"140",0.000531242269360188
"141",0.0203164364573896
"142",-0.0337034603382063
"143",0.00642618990281441
"144",0.0325800252380763
"145",-0.00464957639758157
"146",-0.129877984113387
"147",0.0295466498669918
"148",0.00756438055621333
"149",-0.0214117415976558
"150",-0.00931475856394459
"151",0.0110098268734917
"152",-0.0072657929545592
"153",0.0280282481901561
"154",0.0233280437053263
"155",-0.00645253323899531
"156",-0.0140567520133121
"157",0.0402748451524464
"158",0.0490621468659016
"159",-0.00895236233520458
"160",0.0606678015615598
"161",-0.00420969021521533
"162",-0.041900351739361
"163",0.025876432004853
"164",0.0133405977850942
"165",-0.0124743222458799
"166",0.0387727355921939
"167",0.0399932930066307
"168",0.0245847063390616
"169",-0.0311054771308472
"170",-0.00315770087656819
"171",-0.00271869828162252
"172",-0.0554548035148497
"173",-0.117661078354878
"174",0.0401699716933466
"175",-0.140776600779466
"176",0.106339152422161
"177",0.0568638501563958
"178",0.00802277429858678
"179",-0.000905367747280339
"180",0.00741524616664546
"181",-0.109639438696518
"182",-0.136067154760779
"183",-0.228515073864388
"184",0.118574267134695
"185",0.0218806322620428
"186",0.0957197055505259
"187",-0.143703574858646
"188",0.00761125175577781
"189",-0.166531228189403
"190",0.0215135371316832
"191",-0.012451336644538
"192",0.122484435234564
"193",0.00568376739392606
"194",-0.0167487090523668
"195",-0.0122968784014366
"196",0.0555157507930217
"197",0.00288576995716827
"198",0.00998026338693903
"199",0.0534494424193499
"200",-0.00843966589532363
"201",-0.020260985646358
"202",0.0797239530083216
"203",-0.0160751009913547
"204",-0.0208344783341887
"205",0.0293037468722355
"206",-0.009551949112514
"207",0.0169498537645978
"208",-0.0183209039390919
"209",-0.060615713867842
"210",-0.000974083432803807
"211",-0.00865631138169753
"212",-0.00534572081540019
"213",0.0171653960399847
"214",0.00596151057896477
"215",-0.00582056594818159
"216",0.0231187002687525
"217",0.0134465835641999
"218",-0.00434975065305787
"219",-0.0124069470994286
"220",-0.00182926204923173
"221",0.0128799788181129
"222",0.0289875471530188
"223",0.036050307379518
"224",-0.0251366194098206
"225",-0.00366621934163169
"226",0.0135632010064912
"227",0.0668363323684087
